ticker,date,open,high,low,close,volume,updated_at,source,stale,currency
2802,2026-09-11,4918.0000,4974.0000,4910.0000,4974.0000,2939800,2026-09-12T07:59:31.561835+00:00,yahoo,false,JPY
4004,2026-09-11,15000.0000,15180.0000,14040.0000,14295.0000,2935300,2026-09-12T07:59:31.561835+00:00,yahoo,false,JPY
5801,2026-09-11,3954.0000,4078.0000,3901.0000,3981.0000,23237900,2026-09-12T07:59:31.561835+00:00,yahoo,false,JPY
5802,2026-09-11,2020.0000,2081.0000,2015.0000,2077.5000,14578800,2026-09-12T07:59:31.561835+00:00,yahoo,false,JPY
6268,2026-09-11,4287.0000,4438.0000,4280.0000,4438.0000,977200,2026-09-12T07:59:31.561835+00:00,yahoo,false,JPY
6324,2026-09-11,5680.0000,5990.0000,5650.0000,5790.0000,2221100,2026-09-12T07:59:31.561835+00:00,yahoo,false,JPY
6503,2026-09-11,4936.0000,5050.0000,4936.0000,5027.0000,6163500,2026-09-12T07:59:31.561835+00:00,yahoo,false,JPY
6674,2026-09-11,4920.0000,5006.0000,4916.0000,4962.0000,606100,2026-09-12T07:59:31.561835+00:00,yahoo,false,JPY
6762,2026-09-11,2741.0000,2817.0000,2724.0000,2808.5000,12186500,2026-09-12T07:59:31.561835+00:00,yahoo,false,JPY
AAOI,2026-09-11,104.5100,108.6699,104.0800,105.3600,4936658,2026-09-11T23:29:30.082733+00:00,alphavantage,false,
AAPL,2026-09-11,327.4500,336.2200,326.3000,332.2700,50170950,2026-09-11T23:29:30.082733+00:00,alphavantage,false,
ABT,2026-09-11,104.1500,104.1800,101.4900,101.9500,8322883,2026-09-11T23:29:30.082733+00:00,alphavantage,false,
ALAB,2026-09-11,292.2700,297.6099,286.9000,291.2200,2302963,2026-09-11T23:29:30.082733+00:00,alphavantage,false,
AMZN,2026-09-11,254.0900,257.5900,253.1400,256.7800,25917001,2026-09-11T23:29:30.082733+00:00,alphavantage,false,
ANET,2026-09-11,192.2300,200.2500,192.1050,199.5900,4601136,2026-09-11T23:29:30.082733+00:00,alphavantage,false,
ATI,2026-09-11,202.0400,203.8699,198.0700,198.7700,1220162,2026-09-11T23:29:30.082733+00:00,alphavantage,false,
AVAV,2026-09-11,145.9100,147.1300,138.3100,146.7100,4586062,2026-09-11T23:29:30.082733+00:00,alphavantage,false,
AVGO,2026-09-11,364.8500,366.7800,361.6400,361.9900,19382650,2026-09-11T23:29:30.082733+00:00,alphavantage,false,
BE,2026-09-11,268.5150,277.2800,266.1200,275.7500,13541857,2026-09-11T23:29:30.082733+00:00,alphavantage,false,
